accession	virus_name	genus	family	source
MH649258.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649263.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MK139485.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MK212029.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MK212030.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MK212031.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MK212032.1	Anelloviridae sp.	Hetorquevirus	Anelloviridae	clareaulab
MK820644.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
MK820645.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
MK820646.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
MN765195.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN765196.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN765197.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
MN765198.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN765199.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN765200.1	Torque teno virus	Anelloviridae	Anelloviridae	clareaulab
MN765201.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN765202.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN765203.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN768559.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN768560.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN768561.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN768562.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN768563.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN768564.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN768565.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN768566.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN768568.1	Torque teno virus	Alphatorquevirus	Anelloviridae	clareaulab
MN769027.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769028.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769029.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769032.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769033.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769034.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769035.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769037.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769038.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769040.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769041.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769042.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769044.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769045.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769046.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769051.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769052.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769055.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769056.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769057.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769058.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769059.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769060.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769062.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769067.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769068.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769070.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769071.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769073.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769074.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769076.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769077.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769082.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769083.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769084.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769087.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769089.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769096.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769100.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769101.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769103.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769104.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769105.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769106.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769107.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769108.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769109.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769110.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769112.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769116.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769118.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769123.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769124.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769125.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769126.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769128.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769131.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769135.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769136.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769137.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769140.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769141.1	TTV-like mini virus	Hetorquevirus	Anelloviridae	clareaulab
MN769142.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769143.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769144.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769147.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769149.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769150.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769151.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769153.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769154.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769155.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769158.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769159.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769162.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769166.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769169.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769171.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769172.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
